,cep,cidade,uf,cep_5_digitos
167,48420970,Antas,BA,48420
168,79826275,Dourados,MS,79826
169,15041522,São José do Rio Preto,SP,15041
170,70862500,Brasília,DF,70862
171,91788130,Porto Alegre,RS,91788
172,88330444,Balneário Camboriú,SC,88330
173,26082365,Nova Iguaçu,RJ,26082
174,35249972,Alvarenga,MG,35249
175,63595970,Catarina,CE,63595
176,38025195,Uberaba,MG,38025
177,91120021,Porto Alegre,RS,91120
178,59075351,Natal,RN,59075
179,69130970,Urucará,AM,69130
180,84272550,Telêmaco Borba,PR,84272
181,25510000,São João de Meriti,RJ,25510
182,29380970,Muniz Freire,ES,29380
183,13187005,Hortolândia,SP,13187
184,74415542,Goiânia,GO,74415
185,96010496,Pelotas,RS,96010
186,14887250,Jaboticabal,SP,14887
187,34565320,Sabará,MG,34565
188,30750230,Belo Horizonte,MG,30750
189,69918630,Rio Branco,AC,69918
190,31330000,Belo Horizonte,MG,31330
191,61690972,Guararu,CE,61690
192,79013190,Campo Grande,MS,79013
193,13610210,Leme,SP,13610
194,36260970,Alto Rio Doce,MG,36260
195,58040915,João Pessoa,PB,58040
196,74988858,Aparecida de Goiânia,GO,74988
197,08383300,São Paulo,SP,08383
198,74703050,Goiânia,GO,74703
199,72755020,Brasília,DF,72755
200,14405252,Franca,SP,14405
201,28148970,Tocos,RJ,28148
202,36021630,Juiz de Fora,MG,36021
203,70256500,Brasília,DF,70256
204,33500975,Confins,MG,33500
205,09560580,São Caetano do Sul,SP,09560
206,76829896,Porto Velho,RO,76829
207,97390970,Lavras do Sul,RS,97390
208,99170970,Sertão,RS,99170
209,94140670,Gravataí,RS,94140
210,27130020,Barra do Piraí,RJ,27130
211,28060002,Campos dos Goytacazes,RJ,28060
212,11667290,Caraguatatuba,SP,11667
213,15052000,São José do Rio Preto,SP,15052
214,69555267,Tefé,AM,69555
215,97180971,Dilermando de Aguiar,RS,97180
216,27274120,Volta Redonda,RJ,27274
217,27264140,Volta Redonda,RJ,27264
218,26112620,Belford Roxo,RJ,26112
219,91910003,Porto Alegre,RS,91910
220,13041455,Campinas,SP,13041
221,29055430,Vitória,ES,29055
222,65631430,Timon,MA,65631
223,35046150,Governador Valadares,MG,35046
224,21331635,Rio de Janeiro,RJ,21331
225,74513050,Goiânia,GO,74513
226,64038065,Teresina,PI,64038
227,28610470,Nova Friburgo,RJ,28610
228,74110010,Goiânia,GO,74110
229,16303230,Penápolis,SP,16303
230,76980032,Vilhena,RO,76980
231,69301068,Boa Vista,RR,69301
232,89217260,Joinville,SC,89217
233,60351364,Fortaleza,CE,60351
234,25555650,São João de Meriti,RJ,25555
235,56519042,Arcoverde,PE,56519
236,40024135,Salvador,BA,40024
237,64031315,Teresina,PI,64031
238,69306555,Boa Vista,RR,69306
239,95180254,Farroupilha,RS,95180
240,87043613,Maringá,PR,87043
241,38065165,Uberaba,MG,38065
242,91263304,Porto Alegre,RS,91263
243,84660970,General Carneiro,PR,84660
244,77620970,Aparecida do Rio Negro,TO,77620
245,77650000,Miracema do Tocantins,TO,77650
246,61645000,Caucaia,CE,61645
247,32052023,Contagem,MG,32052
248,72836200,Luziânia,GO,72836
249,29902208,Linhares,ES,29902
250,07862160,Franco da Rocha,SP,07862
251,41280156,Salvador,BA,41280
252,69086475,Manaus,AM,69086
253,73036000,Brasília,DF,73036
254,99528970,Coqueiros do Sul,RS,99528
