,cep_5_digitos,cidade,uf,lat,lon
109,09726,São Bernardo do Campo,SP,-23.7080345,-46.5506747
110,58424,Campina Grande,PB,-7.2246743,-35.8771292
111,21854,Rio de Janeiro,RJ,-22.9110137,-43.2093727
112,77059,Palmas,TO,-10.1837852,-48.3336423
113,99713,Erechim,RS,-27.6350709,-52.2738654
114,61925,Maracanaú,CE,-3.8779438,-38.6247697
115,99200,Guaporé,RS,-28.8471928,-51.8907881
116,78548,Nova Santa Helena,MT,-10.8495357,-55.1780435
117,07836,Franco da Rocha,SP,-23.3328038,-46.724446
118,25958,Teresópolis,RJ,-22.4164578,-42.975194
119,27130,Barra do Piraí,RJ,-22.4703403,-43.8263256
120,40024,Salvador,BA,-12.9822499,-38.4812772
121,17026,Bauru,SP,-22.3218102,-49.0705863
122,27940,Macaé,RJ,-22.3712958,-41.7866922
123,85415,Cafelândia,PR,-24.6176963,-53.3218057
124,65190,Primeira Cruz,MA,-2.5076725,-43.4385918
125,15470,Palestina,SP,-20.389344,-49.4320384
126,29057,Vitória,ES,-20.3200917,-40.3376682
127,28425,Cambiasca,RJ,-21.77680475,-41.919543074622496
128,88990,Praia Grande,SC,-29.1966831,-49.9491971
129,79331,Corumbá,MS,-19.0016365,-57.6534316
130,39893,Monte Formoso,MG,-16.8669394,-41.2543539
131,28950,Armação dos Búzios,RJ,-22.7597805,-41.8875267
132,36090,Juiz de Fora,MG,-21.7609533,-43.3501129
133,60811,Fortaleza,CE,-3.7304512,-38.5217989
134,37413,Três Corações,MG,-21.695625,-45.2543675
135,19300,Presidente Bernardes,SP,-22.0064609,-51.5542973
136,87600,Nova Esperança,PR,-23.1818437,-52.1999852
137,53700,Itapissuma,PE,-7.767983,-34.897136
138,12760,Lavrinhas,SP,-22.570047,-44.902359
139,79806,Dourados,MS,-22.2206145,-54.812208
140,57270,Barro Vermelho,AL,-29.9436477,-50.88603224886543
141,95535,Terra de Areia,RS,-29.5789455,-50.06336
142,85575,São Jorge D'Oeste,PR,-25.7086966,-52.9189882
143,91787,Porto Alegre,RS,-30.0324999,-51.2303767
144,28770,Santa Maria Madalena,RJ,-21.9557957,-42.008283
145,12512,Guaratinguetá,SP,-22.8057839,-45.1908926
146,59158,Parnamirim,RN,-5.9153334,-35.2679913
147,88010,Florianópolis,SC,-27.5973002,-48.5496098
148,26032,Nova Iguaçu,RJ,-22.7592175,-43.4508728
149,75254,Senador Canedo,GO,-16.7013233,-49.0914921
150,77600,Paraíso do Tocantins,TO,-10.1752474,-48.886759
151,98500,Tenente Portela,RS,-27.371058,-53.758484
152,64815,Flores do Piauí,PI,-7.7917152,-42.9236162
153,72315,Brasília,DF,-15.7934036,-47.8823172
154,68513,Marabá,PA,-5.3462821,-49.1007401
155,28990,Saquarema,RJ,-22.9257974,-42.507633
156,95895,Colinas,RS,-29.3866023,-51.8697911
157,71505,Brasília,DF,-15.7934036,-47.8823172
158,23821,Itaguaí,RJ,-22.8629597,-43.775322
159,90520,Porto Alegre,RS,-30.0324999,-51.2303767
