97935970,Mato Queimado,RS,97935
86620970,Guaraci,PR,86620
40340565,Salvador,BA,40340
88295970,Botuverá,SC,88295
92410305,Canoas,RS,92410
86931970,Luar,PR,86931
78680970,Cocalinho,MT,78680
15420970,Guaraci,SP,15420
13107010,Campinas,SP,13107
88311740,Itajaí,SC,88311
81510000,Curitiba,PR,81510
87103016,Maringá,PR,87103
60336233,Fortaleza,CE,60336
79094056,Campo Grande,MS,79094
76811654,Porto Velho,RO,76811
44350970,Governador Mangabeira,BA,44350
87025767,Maringá,PR,87025
25821080,Três Rios,RJ,25821
04616020,São Paulo,SP,04616
76808391,Porto Velho,RO,76808
56505000,Arcoverde,PE,56505
18570970,Conchas,SP,18570
50800000,Recife,PE,50800
19051120,Presidente Prudente,SP,19051
86804410,Apucarana,PR,86804
33840400,Ribeirão das Neves,MG,33840
69915630,Rio Branco,AC,69915
06036080,Osasco,SP,06036
13170040,Sumaré,SP,13170
43813300,Candeias,BA,43813
16340970,Luiziânia,SP,16340
44500970,Castro Alves,BA,44500
49280970,Tomar do Geru,SE,49280
13282596,Vinhedo,SP,13282
62580990,Acaraú,CE,62580
25265970,Duque de Caxias,RJ,25265
68632970,Ulianópolis,PA,68632
29210025,Guarapari,ES,29210
71900100,Brasília,DF,71900
20751000,Rio de Janeiro,RJ,20751
06660520,Itapevi,SP,06660
40353457,Salvador,BA,40353
32470992,Mário Campos,MG,32470
89219530,Joinville,SC,89219
48420970,Antas,BA,48420
79826275,Dourados,MS,79826
15041522,São José do Rio Preto,SP,15041
70862500,Brasília,DF,70862
91788130,Porto Alegre,RS,91788
88330444,Balneário Camboriú,SC,88330
26082365,Nova Iguaçu,RJ,26082
35249972,Alvarenga,MG,35249
63595970,Catarina,CE,63595
38025195,Uberaba,MG,38025
91120021,Porto Alegre,RS,91120
59075351,Natal,RN,59075
69130970,Urucará,AM,69130
84272550,Telêmaco Borba,PR,84272
25510000,São João de Meriti,RJ,25510
29380970,Muniz Freire,ES,29380
13187005,Hortolândia,SP,13187
74415542,Goiânia,GO,74415
96010496,Pelotas,RS,96010
14887250,Jaboticabal,SP,14887
34565320,Sabará,MG,34565
30750230,Belo Horizonte,MG,30750
69918630,Rio Branco,AC,69918
31330000,Belo Horizonte,MG,31330
61690972,Guararu,CE,61690
79013190,Campo Grande,MS,79013
13610210,Leme,SP,13610
36260970,Alto Rio Doce,MG,36260
58040915,João Pessoa,PB,58040
74988858,Aparecida de Goiânia,GO,74988
08383300,São Paulo,SP,08383
74703050,Goiânia,GO,74703
72755020,Brasília,DF,72755
14405252,Franca,SP,14405
28148970,Tocos,RJ,28148
36021630,Juiz de Fora,MG,36021
70256500,Brasília,DF,70256
33500975,Confins,MG,33500
09560580,São Caetano do Sul,SP,09560
76829896,Porto Velho,RO,76829
97390970,Lavras do Sul,RS,97390
99170970,Sertão,RS,99170
94140670,Gravataí,RS,94140
27130020,Barra do Piraí,RJ,27130
28060002,Campos dos Goytacazes,RJ,28060
11667290,Caraguatatuba,SP,11667
15052000,São José do Rio Preto,SP,15052
69555267,Tefé,AM,69555
97180971,Dilermando de Aguiar,RS,97180
27274120,Volta Redonda,RJ,27274
27264140,Volta Redonda,RJ,27264
26112620,Belford Roxo,RJ,26112
91910003,Porto Alegre,RS,91910
13041455,Campinas,SP,13041
29055430,Vitória,ES,29055
65631430,Timon,MA,65631
35046150,Governador Valadares,MG,35046
21331635,Rio de Janeiro,RJ,21331
74513050,Goiânia,GO,74513
64038065,Teresina,PI,64038
28610470,Nova Friburgo,RJ,28610
74110010,Goiânia,GO,74110
16303230,Penápolis,SP,16303
76980032,Vilhena,RO,76980
69301068,Boa Vista,RR,69301
89217260,Joinville,SC,89217
60351364,Fortaleza,CE,60351
25555650,São João de Meriti,RJ,25555
56519042,Arcoverde,PE,56519
40024135,Salvador,BA,40024
64031315,Teresina,PI,64031
69306555,Boa Vista,RR,69306
95180254,Farroupilha,RS,95180
87043613,Maringá,PR,87043
38065165,Uberaba,MG,38065
91263304,Porto Alegre,RS,91263
84660970,General Carneiro,PR,84660
77620970,Aparecida do Rio Negro,TO,77620
77650000,Miracema do Tocantins,TO,77650
